id,title,ingredients
1,Tomato Omelette,"egg,tomato,salt,pepper,oil"
2,Tomato Soup,"tomato,water,salt,butter"
3,Milkshake,"milk,sugar,ice cream"
4,Pancakes,"flour,milk,egg,salt,sugar"
5,Grilled Cheese,"bread,cheese,butter"
6,Scrambled Eggs,"egg,milk,salt,pepper,butter"
7,Caesar Salad,"romaine lettuce,croutons,parmesan,caesar dressing"
8,Mashed Potatoes,"potato,milk,butter,salt,pepper"
9,Chicken Noodle Soup,"chicken broth,chicken,egg noodles,carrot,celery"
10,Spaghetti Carbonara,"spaghetti,egg yolk,guanciale,pecorino romano,black pepper"
11,Tuna Salad Sandwich,"canned tuna,mayonnaise,celery,bread"
12,Guacamole,"avocado,lime juice,onion,cilantro,jalapeño"
13,Beef Tacos,"ground beef,taco seasoning,tortillas,salsa,lettuce"
14,Lemonade,"lemon juice,water,sugar"
15,Chocolate Chip Cookies,"flour,butter,sugar,egg,chocolate chips"
16,Fried Rice,"rice,egg,soy sauce,vegetable oil,mixed vegetables"
17,Basic Vinaigrette,"olive oil,vinegar,salt,pepper"
18,Hard-Boiled Eggs,"egg,water"
19,Oatmeal,"oats,water,salt"
20,French Toast,"bread,egg,milk,cinnamon,butter"
21,Caprese Salad,"tomato,mozzarella,basil,olive oil,balsamic glaze"
22,Hummus,"chickpeas,tahini,lemon juice,garlic,olive oil"
23,Cheeseburger,"ground beef,cheese,bun,lettuce,tomato"
24,Hot Chocolate,"milk,cocoa powder,sugar,vanilla extract"
25,Apple Pie,"apple,pie crust,sugar,cinnamon,butter"
26,Salsa,"tomato,onion,jalapeño,cilantro,lime juice"
27,Waffles,"flour,milk,egg,baking powder,sugar,butter"
28,Potato Salad,"potato,mayonnaise,mustard,celery,onion"
29,Broccoli Cheddar Soup,"broccoli,cheddar cheese,milk,butter,flour"
30,Smoothie,"banana,milk,yogurt,honey"
31,Pizza Margherita,"pizza dough,tomato sauce,mozzarella,basil"
32,Bacon and Eggs,"bacon,egg,salt,pepper"
33,Coleslaw,"cabbage,carrot,mayonnaise,vinegar,sugar"
34,Chili Con Carne,"ground beef,beans,tomato,chili powder,onion"
35,Gingerbread Cookies,"flour,molasses,ginger,cinnamon,butter"
36,Tzatziki Sauce,"greek yogurt,cucumber,garlic,dill"
37,Chicken Stir-fry,"chicken,soy sauce,vegetables,rice"
38,Deviled Eggs,"egg,mayonnaise,mustard,paprika"
39,Brownies,"chocolate,butter,sugar,egg,flour"
40,Gazpacho,"tomato,cucumber,bell pepper,onion,olive oil"
41,Pesto Pasta,"pasta,basil,pine nuts,parmesan,olive oil"
42,Cornbread,"cornmeal,flour,milk,egg,sugar,baking powder"
43,Tuna Melts,"canned tuna,mayonnaise,cheese,bread"
44,Cauliflower Rice,"cauliflower,butter,salt,pepper"
45,Chicken Fajitas,"chicken,bell peppers,onion,tortillas,taco seasoning"
46,Fruit Salad,"apple,banana,grape,strawberry,melon"
47,Creme Brulee,"cream,egg yolk,sugar,vanilla"
48,Fish and Chips,"white fish,potato,flour,oil"
49,Red Lentil Soup,"red lentils,carrot,celery,onion,vegetable broth"
50,Hot Dog,"hot dog,bun,mustard,ketchup"
51,Chicken Curry,"chicken,curry powder,coconut milk,onion,rice"
52,Spinach Dip,"spinach,cream cheese,sour cream,onion"
53,Oven Fries,"potato,olive oil,salt,pepper"
54,Pumpkin Pie,"pumpkin puree,pie crust,egg,cinnamon,nutmeg"
55,Sloppy Joes,"ground beef,tomato sauce,onion,mustard,bun"
56,Cucumber Sandwiches,"cucumber,cream cheese,bread,dill"
57,Black Bean Soup,"black beans,onion,garlic,vegetable broth"
58,Shrimp Scampi,"shrimp,butter,garlic,lemon juice,pasta"
59,Banana Bread,"banana,flour,sugar,egg,butter"
60,Green Smoothie,"spinach,banana,almond milk,protein powder"
61,Shepherd's Pie,"ground lamb,potato,carrot,peas,beef broth"
62,Clam Chowder,"clams,potato,cream,onion,celery"
63,Meatloaf,"ground beef,breadcrumbs,egg,onion,ketchup"
64,Pita Bread,"flour,water,yeast,salt"
65,Donuts,"flour,sugar,egg,milk,yeast,oil"
66,French Onion Soup,"onion,beef broth,baguette,gruyere cheese"
67,Tiramisu,"ladyfingers,mascarpone,coffee,egg,sugar"
68,Cobb Salad,"lettuce,chicken,bacon,egg,avocado,blue cheese"
69,Muffins,"flour,sugar,egg,milk,baking powder"
70,Ratatouille,"zucchini,eggplant,tomato,bell pepper,onion"
71,Chicken Pot Pie,"chicken,vegetables,cream sauce,pie crust"
72,Focaccia,"flour,yeast,water,olive oil,salt"
73,Borscht,"beet,cabbage,potato,carrot,beef broth"
74,Biscuits and Gravy,"flour,butter,milk,sausage,pepper"
75,Eclairs,"choux pastry,pastry cream,chocolate glaze"
76,Goulash,"beef,onion,paprika,tomato,potato"
77,Pho,"beef broth,rice noodles,beef,herbs,lime"
78,Jambalaya,"rice,chicken,sausage,shrimp,vegetables"
79,Scones,"flour,butter,milk,sugar,baking powder"
80,Baklava,"phyllo dough,walnuts,honey,butter"
81,Paella,"rice,saffron,chicken,seafood,vegetables"
82,Pretzels,"flour,water,yeast,baking soda,salt"
83,Lentil Curry,"lentils,onion,tomato,curry powder,rice"
84,Chicken Wings,"chicken wings,hot sauce,butter"
85,Flan,"egg,milk,sugar,vanilla"
86,Hash Browns,"potato,onion,oil,salt,pepper"
87,Spring Rolls,"rice paper,vegetables,shrimp,dipping sauce"
88,Beet Salad,"beet,goat cheese,walnuts,vinaigrette"
89,Churros,"flour,water,sugar,cinnamon,oil"
90,Gyoza,"ground pork,cabbage,ginger,soy sauce,wonton wrappers"
91,Black Forest Cake,"chocolate cake,cherry,whipped cream"
92,Quesadillas,"tortilla,cheese,chicken or beef"
93,Tabouleh,"parsley,tomato,mint,bulgur,lemon juice,olive oil"
94,Apple Crumble,"apple,oats,flour,butter,sugar"
95,Samosas,"potato,peas,spices,dough,oil"
96,Watermelon Salad,"watermelon,feta cheese,mint,lime juice"
97,Cinnamon Rolls,"dough,cinnamon,sugar,butter,cream cheese frosting"
98,Pad Thai,"rice noodles,shrimp,egg,tofu,tamarind sauce"
99,Cream of Mushroom Soup,"mushroom,cream,butter,flour,vegetable broth"
100,Chocolate Mousse,"chocolate,egg,cream,sugar"
101,Couscous Salad,"couscous,cucumber,tomato,lemon juice,olive oil"
102,Pulled Pork,"pork shoulder,bbq sauce,bun,vinegar"
103,Egg Drop Soup,"chicken broth,egg,green onion,soy sauce"
104,Key Lime Pie,"key lime juice,graham cracker crust,sweetened condensed milk"
105,Arugula Salad,"arugula,parmesan,lemon juice,olive oil"
106,Tostadas,"corn tortilla,beans,cheese,lettuce,salsa"
107,Chocolate Milk,"milk,chocolate syrup"
108,Cabbage Rolls,"cabbage,ground meat,rice,tomato sauce"
109,Chicken Kebabs,"chicken,bell peppers,onion,skewer"
110,Mango Sticky Rice,"mango,sticky rice,coconut milk,sugar"
111,Puttanesca Sauce,"tomato,olives,capers,anchovies,garlic"
112,Corn Chowder,"corn,potato,onion,cream,bacon"
113,Biscotti,"flour,sugar,egg,almonds"
114,Prawn Cocktail,"shrimp,cocktail sauce,lettuce"
115,Falafel,"chickpeas,herbs,onion,flour,oil"
116,Waldorf Salad,"apple,celery,grape,walnuts,mayonnaise"
117,She Crab Soup,"crab meat,cream,sherry,onion"
118,Chicken Marsala,"chicken,mushroom,marsala wine,butter"
119,Oatmeal Raisin Cookies,"oats,flour,butter,raisins,cinnamon"
120,Moussaka,"eggplant,ground lamb,tomato sauce,béchamel sauce"
121,Pancetta-Wrapped Asparagus,"asparagus,pancetta,olive oil"
122,Minestrone Soup,"pasta,beans,vegetables,tomato broth"
123,Rice Pudding,"rice,milk,sugar,cinnamon"
124,Empanadas,"dough,ground beef or chicken,onion,spices"
125,Prosciutto Melon,"prosciutto,cantaloupe or honeydew melon"
126,Biryani,"rice,chicken or mutton,yogurt,spices"
127,Potato Latkes,"potato,onion,egg,flour,oil"
128,Beignets,"choux pastry,sugar"
129,Chicken Piccata,"chicken,lemon juice,capers,butter,flour"
130,Cannoli,"cannoli shell,ricotta cheese,sugar,chocolate chips"
131,Gallo Pinto,"rice,black beans,cilantro,onion,lizano sauce"
132,Vichyssoise,"leek,potato,cream,chicken broth"
133,Sopa de Tortilla,"tortilla,chicken broth,tomato,avocado,cheese"
134,Wonton Soup,"wonton,chicken broth,green onion"
135,Pavlova,"meringue,whipped cream,fresh fruit"
136,Zucchini Bread,"zucchini,flour,sugar,egg,cinnamon"
137,Irish Stew,"lamb or beef,potato,carrot,onion,barley"
138,Coq au Vin,"chicken,red wine,mushroom,bacon,onion"
139,Lemon Bars,"lemon juice,sugar,egg,flour,butter"
140,Bouillabaisse,"fish,shellfish,saffron,vegetables,broth"
141,Okonomiyaki,"flour,cabbage,egg,pork or seafood,sauce"
142,Baguette,"flour,water,yeast,salt"
143,Ramen,"noodles,broth,pork or chicken,egg,seaweed"
144,Sauerbraten,"beef,vinegar,spices,ginger snaps"
145,Tarte Tatin,"apple,butter,sugar,puff pastry"
146,Kedgeree,"smoked haddock,rice,egg,cream,curry powder"
147,Cioppino,"seafood,tomato,white wine,broth"
148,Corn Dogs,"hot dog,cornmeal batter,oil"
149,Tres Leches Cake,"sponge cake,evaporated milk,condensed milk,cream"
150,Tuna Casserole,"canned tuna,egg noodles,cream of mushroom soup,cheese"
151,Gnocchi,"potato,flour,egg,salt"
152,Sashimi,"raw fish,soy sauce,wasabi"
153,Hushpuppies,"cornmeal,flour,milk,egg,onion,oil"
154,Crab Cakes,"crab meat,breadcrumbs,mayonnaise,mustard"
155,Red Velvet Cake,"flour,sugar,cocoa powder,buttermilk,red food coloring"
156,Kimchi Jjigae,"kimchi,pork or tofu,broth,onion"
157,Yorkshire Pudding,"flour,egg,milk,beef fat"
158,Ceviche,"raw fish,lime juice,onion,cilantro,chili"
159,Lemon Meringue Pie,"lemon juice,egg,sugar,pie crust"
160,Chicken Tikka Masala,"chicken,yogurt,spices,tomato sauce,cream"
161,Arepas,"cornmeal,water,salt"
162,Black Eyed Peas,"black eyed peas,bacon or ham hock,onion"
163,Panna Cotta,"cream,sugar,gelatin,vanilla"
164,Calzone,"pizza dough,cheese,meat,vegetables"
165,Boston Cream Pie,"sponge cake,pastry cream,chocolate glaze"
166,Pozole,"hominy,pork or chicken,chili,broth,radish"
167,Crab Rangoon,"cream cheese,crab meat,wonton wrapper,oil"
168,Jollof Rice,"rice,tomato,onion,chili pepper,spices"
169,Banh Mi,"baguette,pork or chicken,pâté,vegetables,mayonnaise"
170,Sticky Toffee Pudding,"dates,flour,egg,butter,toffee sauce"
171,Avgolemono Soup,"chicken broth,egg,lemon juice,rice"
172,Apple Fritters,"apple,flour,sugar,cinnamon,oil"
173,Dahl,"lentils,turmeric,ginger,garlic,cumin"
174,Chicken Adobo,"chicken,soy sauce,vinegar,garlic,bay leaf"
175,King Cake,"brioche dough,cinnamon,sugar,icing"
176,Sheesh Kebab,"ground lamb or beef,onion,spices,skewer"
177,Eton Mess,"meringue,whipped cream,strawberry"
178,French Bread Pizza,"french bread,tomato sauce,cheese,toppings"
179,Chicken Cacciatore,"chicken,tomato,mushroom,onion,bell pepper,wine"
180,Pork Fried Rice,"rice,pork,egg,soy sauce,vegetables"
181,Challah,"flour,egg,water,yeast,sugar"
182,Congee,"rice,water or broth,meat or egg,ginger"
183,Apple Butter,"apple,cider,sugar,cinnamon"
184,Sauerkraut,"cabbage,salt"
185,Spanakopita,"phyllo dough,spinach,feta cheese,egg"
186,Chicken Caesar Wrap,"chicken,romaine lettuce,caesar dressing,tortilla"
187,Irish Soda Bread,"flour,buttermilk,baking soda,salt"
188,Baklava Cheesecake,"cream cheese,sugar,phyllo dough,walnuts,honey"
189,Scotch Egg,"egg,sausage meat,breadcrumbs,oil"
190,Beef Wellington,"beef tenderloin,mushroom duxelles,puff pastry"
191,Chicken and Dumplings,"chicken,flour,milk,butter,broth"
192,Pudding,"milk,sugar,cornstarch,flavoring"
193,Chicken Satay,"chicken,peanut sauce,coconut milk,skewer"
194,Cranberry Sauce,"cranberry,sugar,water,orange zest"
195,Mille-Feuille,"puff pastry,pastry cream,icing"
196,Miso Soup,"miso paste,tofu,seaweed,broth"
197,Sloppy Joe Mac and Cheese,"macaroni,cheese sauce,sloppy joe mixture"
198,Peking Duck,"duck,hoisin sauce,pancake,cucumber,scallion"
199,Ginger Ale,"ginger,sugar,water,yeast"
200,Chicken Tortilla Soup,"chicken,tortilla,broth,tomato,avocado"
201,Gazpacho Verde,"cucumber,green bell pepper,lime,avocado,bread"
202,Apple Cider Donuts,"apple cider,flour,sugar,cinnamon,nutmeg"
203,Cranachan,"oats,whisky,honey,raspberry,whipped cream"
204,Chicken Pesto Pizza,"pizza dough,pesto,chicken,mozzarella"
205,Vegetable Samosas,"potato,peas,carrot,spices,dough,oil"
206,Mango Lassi,"mango,yogurt,milk,sugar"
207,Fajita Bowl,"rice,beans,bell peppers,onion,chicken or beef"
208,Carrot Cake,"carrot,flour,sugar,egg,cream cheese frosting"
209,Shrimp Ceviche,"shrimp,lime juice,onion,cilantro,jalapeño"
210,Broccoli Stir-fry,"broccoli,soy sauce,garlic,ginger,sesame oil"
211,Red Bean Paste,"red beans,sugar,water"
212,Corn and Black Bean Salsa,"corn,black beans,tomato,onion,lime juice"
213,Ginger Tea,"ginger,water,honey,lemon"
214,Baked Ziti,"ziti pasta,tomato sauce,ricotta cheese,mozzarella"
215,Churros with Chocolate Sauce,"churros,chocolate,cream,sugar"
216,Chicken and Rice,"chicken,rice,broth,onion,garlic"
217,Lemon and Herb Roast Chicken,"chicken,lemon,herbs,olive oil,salt,pepper"
218,Rice Paper Rolls (Vegetable),"rice paper,lettuce,carrot,cucumber,dipping sauce"
219,Sweet Potato Fries,"sweet potato,oil,salt,cinnamon"
220,Crock Pot Chili,"ground beef,beans,tomato,onion,chili powder"
221,Tabbouleh Salad,"parsley,tomato,mint,bulgur,lemon juice,olive oil"
222,Orange Chicken,"chicken,orange juice,soy sauce,sugar,ginger"
223,Potato Leek Soup,"potato,leek,chicken broth,cream"
224,Chocolate Ganache,"chocolate,heavy cream"
225,Chicken Alfredo Pasta,"fettuccine pasta,chicken,heavy cream,parmesan,butter"
226,Cucumber Raita,"yogurt,cucumber,mint,cumin"
227,Shrimp Tacos,"shrimp,tortillas,cabbage slaw,lime"
228,Hot Toddy,"whiskey,honey,lemon,hot water"
229,Beef Stew,"beef,potato,carrot,celery,beef broth"
230,Apple Tart,"apple,puff pastry,sugar,butter"
231,Chicken Lo Mein,"egg noodles,chicken,cabbage,carrot,soy sauce"
232,Mint Chocolate Chip Ice Cream,"cream,milk,sugar,mint extract,chocolate chips"
233,Stuffed Bell Peppers,"bell pepper,rice,ground meat,tomato sauce"
234,Gingerbread House,"gingerbread dough,icing,candy"
235,Tuna Noodle Casserole,"egg noodles,canned tuna,cream of mushroom soup,peas"
236,Sweet and Sour Chicken,"chicken,bell peppers,pineapple,sweet and sour sauce"
237,Vegetarian Chili,"beans,tomato,onion,bell pepper,chili powder"
238,Pineapple Upside-Down Cake,"pineapple,cherry,butter,brown sugar,flour"
239,Beef and Broccoli,"beef,broccoli,soy sauce,ginger,garlic"
240,French Silk Pie,"chocolate,butter,egg,sugar,pie crust,whipped cream"
241,Chicken Caesar Salad,"chicken,romaine lettuce,croutons,parmesan,caesar dressing"
242,Salsa Verde,"tomatillo,chili,onion,cilantro,lime juice"
243,Chicken and Waffles,"chicken,waffles,maple syrup"
244,Tuna Patties,"canned tuna,egg,breadcrumbs,onion"
245,Rice Pilaf,"rice,vermicelli,broth,onion,butter"
246,Lemon Poppy Seed Muffins,"flour,sugar,egg,milk,lemon zest,poppy seeds"
247,Pot Roast,"beef,potato,carrot,onion,beef broth"
248,Chicken Salad,"chicken,mayonnaise,celery,onion,lettuce,bread"
249,Ginger Chicken Soup,"chicken broth,chicken,ginger,carrot,cilantro"
250,White Russian,"vodka,kahlúa,cream"
251,Cranberry Orange Scones,"flour,butter,milk,cranberry,orange zest"
252,Beef Bulgogi,"beef,soy sauce,sugar,garlic,sesame oil"
253,Vegetable Fried Rice,"rice,egg,soy sauce,vegetable oil,mixed vegetables"
254,Chocolate Lava Cake,"chocolate,butter,egg,sugar,flour"
255,Greek Salad,"cucumber,tomato,feta cheese,olives,onion,oregano"
256,Chicken Shawarma,"chicken,pita bread,yogurt sauce,vegetables"
257,Potato Gratin,"potato,cream,garlic,cheese"
258,Lemon Loaf,"flour,sugar,egg,milk,lemon juice,lemon glaze"
259,Shrimp Gumbo,"shrimp,sausage,okra,rice,broth"
260,Apple Cider,"apple,cinnamon,cloves,sugar,water"
261,Chicken Parmesan,"chicken,tomato sauce,mozzarella,parmesan,pasta"
262,Hot and Sour Soup,"bamboo shoots,mushroom,tofu,vinegar,soy sauce,egg"
263,Peanut Butter Cookies,"peanut butter,sugar,egg"
264,Beef Tostadas,"corn tortilla,beans,ground beef,lettuce,salsa"
265,Mango Sorbet,"mango,sugar,water,lime juice"
266,Chicken Fajita Salad,"lettuce,chicken,bell peppers,onion,salsa,dressing"
267,Pecan Pie,"pecan,corn syrup,sugar,egg,pie crust"
268,Vegetarian Lasagna,"lasagna noodles,ricotta cheese,marinara sauce,vegetables"
269,French Dip Sandwich,"roast beef,roll,beef broth (au jus)"
270,Mint Julep,"bourbon,mint,sugar,water"
271,Turkey Chili,"ground turkey,beans,tomato,onion,chili powder"
272,Strawberry Shortcake,"biscuit,strawberry,whipped cream"
273,Chicken Curry Salad,"chicken,mayonnaise,curry powder,raisins,celery"
274,Loaded Baked Potato,"potato,butter,sour cream,cheese,bacon,chives"
275,Chocolate Zucchini Bread,"zucchini,flour,sugar,cocoa powder,egg,oil"
276,Shrimp and Grits,"shrimp,grits,cheese,bacon"
277,Hot Cross Buns,"flour,milk,yeast,sugar,cinnamon,dried fruit"
278,Chicken Enchiladas,"tortilla,chicken,cheese,enchilada sauce,onion"
279,Caprese Skewers,"mozzarella balls,cherry tomato,basil,balsamic glaze"
280,Banana Smoothie,"banana,milk,yogurt,honey"
281,Shepherd's Pie with Sweet Potato,"ground lamb or beef,sweet potato mash,vegetables,broth"
282,Cornbread Stuffing,"cornbread,celery,onion,butter,broth"
283,Beef Gyro,"pita bread,beef or lamb,tzatziki sauce,tomato,onion"
284,Peanut Butter and Jelly Sandwich,"bread,peanut butter,jelly"
285,Ginger Lime Dressing,"ginger,lime juice,soy sauce,sesame oil,honey"
286,Pork Chops with Apple Sauce,"pork chop,apple,sugar,cinnamon"
287,Chicken Teriyaki,"chicken,soy sauce,mirin,sugar,ginger,rice"
288,Coconut Macaroons,"shredded coconut,sweetened condensed milk,egg white"
289,Tuna Salad Wrap,"canned tuna,mayonnaise,celery,lettuce,tortilla"
290,Baked Potato Soup,"potato,cream,bacon,cheese,onion"
291,Cranberry Relish,"cranberry,orange,sugar"
292,Beef Stroganoff,"beef,mushroom,onion,sour cream,egg noodles"
293,Lemon Garlic Shrimp,"shrimp,lemon juice,garlic,butter,parsley"
294,Blueberry Muffins,"flour,sugar,egg,milk,blueberry,baking powder"
295,Chicken Noodle Stir-fry,"egg noodles,chicken,cabbage,carrot,soy sauce"
296,Peach Cobbler,"peach,flour,sugar,butter,cinnamon"
297,Veggie Burger,"vegetable patty,bun,lettuce,tomato,mayonnaise"
298,Irish Coffee,"coffee,irish whiskey,sugar,whipped cream"
299,Pasta Primavera,"pasta,seasonal vegetables,cream sauce"
300,Black Bean Burger,"black beans,breadcrumbs,onion,garlic powder,cumin"